0,Key Lime Pie,0,"In a large bowl, mix together condensed milk and lime juice"
0,Key Lime Pie,1,Fold in whipped topping and mix until smooth
0,Key Lime Pie,2,Pour mixture into graham cracker crust
0,Key Lime Pie,3,Refrigerate at least 1 hour before serving
1,Tomato and Garlic Pasta,0,"Place tomatoes in a kettle, and cover with cold water"
1,Tomato and Garlic Pasta,1,"Bring kettle just to the boil."
1,Tomato and Garlic Pasta,2,"Pour off water, and cover again with cold water. Peel. Cut into small pieces."
1,Tomato and Garlic Pasta,3,"Cook the pasta in a large pot of boiling salted water until al dente."
1,Tomato and Garlic Pasta,4,"In a large skillet or saute pan, saute the garlic in enough olive oil to cover the bottom of the pan. The garlic should just become opaque, not brown. Stir in the tomato paste. Immediately stir in the tomatoes, and salt and pepper. Reduce heat, and simmer until the pasta is ready; add the basil."
1,Tomato and Garlic Pasta,5,"Drain the pasta, but do not rinse in cold water. Toss with a couple of tablespoons of olive oil, and then mix into the sauce. Reduce the heat as low as possible. Keep warm, uncovered, for about 10 minutes when it is ready to serve. Garnish generously with fresh Parmesan cheese."
2,Garlic Bread,0,"Preheat oven to 350 degrees"
2,Garlic Bread,1,"Cut the bread in half, horizontally. Mix the butter, garlic, and parsley together in a small bowl. Spread butter mixture over the the two bread halves. Place on a sturdy baking pan (one that can handle high temperatures, not a cookie sheet) and heat in the oven for 10 minutes."
2,Garlic Bread,1,"Remove from oven, let cool a minute. Remove from pan and make 1-inch thick slices. Serve immediately."
3,Baked Lemon Pepper Salmon,0,"Whisk together lemon juice and black pepper in small bowl. Add mayonnaise, miso paste, Dijon mustard, and cayenne pepper to lemon-pepper mixture; whisk together."
3,Baked Lemon Pepper Salmon,1,"Spread the lemon-pepper mixture over salmon fillets. Reserve about a tablespoon for later use."
3,Baked Lemon Pepper Salmon,2,"Cover salmon with plastic wrap and refrigerate for 30 minutes."
3,Baked Lemon Pepper Salmon,3,"Preheat oven to 450 degrees F (230 degrees C). Line a baking sheet with parchment paper or silicone baking mat."
3,Baked Lemon Pepper Salmon,4,"Place fillets on the prepared baking sheet. Spread remaining lemon-pepper mixture on fillets without letting it pool around base. Sprinkle with a pinch more black pepper and a generous amount of sea salt."
3,Baked Lemon Pepper Salmon,5,"Bake in the preheated oven until the fish flakes easily with a fork, 10 to 15 minutes."
4,Turkey Chili,0,"Mix the ancho chile powder, paprika, cumin, salt, chipotle pepper, oregano, cocoa powder, black pepper, cayenne pepper, and cinnamon in a bowl; set aside."
4,Turkey Chili,1,"Heat the olive oil in a large heavy pot over medium heat. Stir in the onion; cook and stir until the onion has softened and turned translucent, about 5 minutes. Stir in the ground turkey and garlic. Cook and stir until turkey is no longer pink, breaking up any large chunks, 7 to 8 minutes. Stir in the spice mixture. Cook until fragrant, 3 to 4 minutes."
4,Turkey Chili,2,"Stir in the tomato puree and water. Bring to a simmer, then reduce heat to low. Cook until the turkey meat is broken down, about 1 hour. Stir in the beans, and continue to simmer until flavors have blended, 20 to 30 more minutes."
5,Sloppy Joe,0,"Dice the onion and green bell pepper. Mince the garlic."
5,Sloppy Joe,1,"Combine the ground beef and onion in a cold skillet, place the skillet onto a stove burner, and turn the heat to medium; cook and stir until the beef is crumbly and browned. Stir the garlic and bell pepper into the beef mixture; continue cooking and stirring until the vegetables are tender, 2 to 3 more minutes. Add 1 cup of water. Mix in ketchup, brown sugar, Dijon mustard, Worcestershire, salt, and pepper. Pour in 1 more cup of water. Bring to a simmer. Reduce heat to low and cook until the mixture becomes very thick, 30 to 45 minutes. Adjust salt and pepper as needed. Season with cayenne."
6,Chicken Piccata,0,"Place chicken breasts between 2 layers of plastic wrap and pound to about 1/2-inch thick."
6,Chicken Piccata,1,"Season both sides of chicken breasts with cayenne, salt, and black pepper; dredge lightly in flour and shake off any excess."
6,Chicken Piccata,2,"Heat olive oil in a skillet over medium-high heat. Place chicken in the pan, reduce heat to medium, and cook until browned and cooked through, about 5 minutes per side; remove to a plate."
6,Chicken Piccata,3,"Cook capers in reserved oil, smashing them lightly to release brine, until warmed though, about 30 seconds."
6,Chicken Piccata,4,"Pour white wine into skillet. Scrape any browned bits from the bottom of the pan with a wooden spoon. Cook until reduced by half, about 2 minutes."
